timestamp,time
1615784334019,24.917673ms
1615787934559,27.532448ms
1615791535102,25.740636ms
1615795135642,24.987171ms
1615798736182,30.324253ms
1615802336726,24.494853ms
1615805937267,24.347595ms
1615809537808,24.054718ms
1615813138346,24.877993ms
1615816738886,24.831032ms
1615820339426,25.958852ms
1615823939966,24.780655ms
1615827540526,24.909807ms
1615831141066,24.613285ms
1615834741619,31.363676ms
1615838342295,24.081185ms
1615841942834,25.694088ms
1615845543375,24.956514ms
1615849143914,24.605624ms
1615852744454,25.684964ms
1615856344994,25.233964ms
1615859945534,24.932545ms
1615863546074,24.2266ms
1615867146614,23.169223ms
1615870747150,24.599844ms
1615874347690,25.240435ms
1615877948230,25.286874ms
1615881548771,24.480226ms
1615885149311,26.069685ms
1615888749850,25.608682ms
1615892350390,23.549257ms
1615895950934,23.54695ms
1615899551490,24.553598ms
1615903152030,25.382534ms
1615906752570,23.620682ms
1615910353126,25.624381ms
1615913953666,24.587043ms
1615917554207,25.727969ms
1615921154746,23.868009ms
1615924755287,26.104175ms
1615928355830,24.805455ms
1615931956370,24.884759ms
1615935556910,23.530881ms
1615939157446,24.476978ms
1615942757986,25.90672ms
1615946358534,23.395602ms
1615949959070,24.85807ms
1615953559610,24.208473ms
1615957160150,23.573576ms
1615960760686,25.139912ms
1615964361226,23.374068ms
1615967961765,27.365065ms
1615971562306,28.141539ms
1615975162849,27.26036ms
1615978763390,27.401675ms
1615982363929,27.84016ms
1615985964470,27.779037ms
1615989565014,23.596888ms
1615993165554,24.348706ms
1615996766097,28.344477ms
1616000366638,28.787878ms
1616003967182,28.502381ms
1616007567726,29.381043ms
1616011168270,30.122556ms
1616014768814,30.758026ms
1616018369359,29.369468ms
1616021969902,29.176046ms
1616025570447,31.703088ms
1616029170995,24.117027ms
1616032771535,24.830234ms
1616036372074,24.277467ms
1616039972617,26.283169ms
1616043573158,25.03706ms
1616047173698,24.908057ms
1616050774239,26.028561ms
1616054374779,26.492276ms
1616057975318,23.976975ms
1616061575858,23.622869ms
1616065176398,25.092656ms
1616068776938,25.137685ms
1616072377478,24.557136ms
1616075978021,26.676441ms
1616079578576,25.277075ms
1616083179118,23.973183ms
1616086779658,24.12223ms
1616090380198,24.278793ms
1616093980738,24.487061ms
1616097581278,23.875741ms
1616101181818,24.457087ms
1616104782359,24.795067ms
1616108382898,23.195885ms
1616111983438,25.442756ms
1616115583978,25.605067ms
1616119184523,24.774252ms
1616122785062,25.680336ms
1616126385606,23.16781ms
1616129986143,23.524368ms
1616133586686,24.475593ms
1616137187226,23.346398ms
1616140787762,24.577545ms
1616144388302,24.874529ms
1616147988842,24.473628ms
1616151589386,25.061188ms
1616155189926,25.183227ms
1616158790466,24.338758ms
1616162391006,24.767267ms
1616165991546,23.870693ms
1616169592087,26.053813ms
1616173192626,25.439731ms
1616176793166,24.669258ms
1616180393708,25.703511ms
1616183994250,24.384377ms
1616187594790,23.600726ms
1616191195330,24.108946ms
1616194795870,25.273566ms
1616198396410,24.294301ms
1616201996950,26.179485ms
1616205597491,24.504153ms
1616209198030,23.741496ms
1616212798570,25.497993ms
1616216399110,25.674803ms
1616219999654,23.572758ms
1616223600194,24.422209ms
1616227200735,24.658103ms
1616230801312,28.086475ms
1616234402114,36.138204ms
1616238003024,89.166949ms
1616241605055,50.092414ms
1616245205882,52.538986ms
1616248806544,24.004633ms
1616252407083,24.220662ms
1616256007623,26.19133ms
1616259608167,23.996985ms
1616263208707,25.315417ms
1616266809246,25.0226ms
1616270409787,24.442886ms
1616274010326,26.612268ms
1616277610870,23.693152ms
1616281211411,23.77009ms
1616284811951,25.80672ms
1616288412490,24.988358ms
1616292013034,25.843257ms
1616295613575,24.227018ms
1616299214114,26.38594ms
1616302814655,25.713137ms
1616306415194,23.629119ms
1616310015743,24.459974ms
1616313616282,24.217587ms
1616317216822,24.131889ms
1616320817362,23.704638ms
1616324417902,25.095294ms
1616328018443,25.298872ms
1616331618983,23.858224ms
1616335219522,24.406541ms
1616338820062,24.653124ms
1616342420602,23.40839ms
1616346021146,25.064424ms
1616349621687,25.166446ms
1616353222226,25.321688ms
1616356822767,23.663509ms
1616360423306,23.845541ms
1616364023846,24.081868ms
1616367624386,24.639567ms
1616371224926,23.676277ms
1616374825466,23.463154ms
1616378426007,23.769637ms
1616382026546,25.016926ms
1616385627102,23.655872ms
1616389227642,25.568598ms
1616392828182,25.934482ms
1616396428722,23.842864ms
1616400029282,23.772752ms
1616403629822,24.920486ms
1616407230366,25.591531ms
1616410830907,30.616346ms
1616414431454,24.693187ms
1616418031998,26.110076ms
1616421632539,24.494611ms
1616425233078,24.959759ms
1616428833618,25.852355ms
1616432434158,24.84931ms
1616436034699,25.528199ms
1616439635239,26.07029ms
1616443235778,24.8844ms
1616446836318,25.085534ms
1616450436859,24.420762ms
1616454037401,28.223123ms
1616457637954,23.782758ms
1616461238495,24.982698ms
1616464839034,24.344107ms
1616468439574,24.760802ms
1616472040127,25.365768ms
1616475640666,24.509171ms
1616479241210,24.559087ms
1616482841750,26.072916ms
1616486442291,25.274703ms
1616490042830,25.00067ms
1616493643372,25.138936ms
1616497243910,24.37833ms
1616500844451,26.305576ms
1616504444991,24.471378ms
1616508045531,23.569069ms
1616511646070,24.830962ms
1616515246610,25.773964ms
1616518847150,24.784481ms
1616522447691,25.125456ms
1616526048231,24.055812ms
1616529648771,24.905331ms
1616533249311,25.997657ms
1616536849851,24.108867ms
1616540450390,24.085477ms
1616544050931,25.933379ms
1616547651470,25.021079ms
1616551252011,23.926235ms
1616554852552,26.552342ms
1616558453095,24.697924ms
1616562053634,25.526183ms
1616565654174,25.734439ms
1616569254715,25.310468ms
1616572855258,23.427853ms
1616576455800,25.056121ms
1616580056338,23.520648ms
1616583656878,23.589217ms
1616587257414,25.083688ms
1616590857958,24.364267ms
1616594458498,25.735864ms
1616598059039,26.206854ms
1616601659583,24.696823ms
1616605260123,25.944217ms
1616608860662,24.630115ms
1616612461207,25.223328ms
1616616061793,42.572916ms
1616619662451,23.873146ms
1616623262990,24.096589ms
1616626863530,25.697137ms
1616630464087,23.868027ms
1616634064626,25.871643ms
1616637665170,26.259389ms
1616641265713,26.406679ms
1616644866286,23.644321ms
1616648466826,24.33948ms
1616652067367,24.403297ms
1616655667907,25.458615ms
1616659268446,24.513897ms
1616662868986,24.366143ms
1616666469526,24.311433ms
1616670070067,25.209989ms
1616673670606,24.778622ms
1616677271147,25.459581ms
1616680871687,23.615938ms
1616684472226,24.828306ms
1616688072766,24.69298ms
1616691673307,24.841283ms
1616695273846,23.780049ms
1616698874387,24.115426ms
1616702474926,24.959856ms
1616706075466,24.230516ms
1616709676011,25.06038ms
1616713276552,25.009666ms
1616716877096,25.445989ms
1616720477636,25.435984ms
1616724078178,25.289646ms
1616727678718,25.649075ms
1616731279258,24.892767ms
1616734879800,23.524376ms
1616738480338,23.833628ms
1616742080878,23.896869ms
1616745681418,24.893782ms
1616749281958,23.497117ms
1616752882498,24.538888ms
1616756483038,25.048704ms
1616760083578,25.090682ms
1616763684118,24.021202ms
1616767284658,23.937538ms
1616770885199,24.72625ms
1616774485738,23.283321ms
1616778086278,25.047166ms
1616781686818,26.687836ms
1616785287358,24.357103ms
1616788887899,24.745751ms
1616792488438,24.835526ms
1616796088978,24.715494ms
1616799689518,24.279759ms
1616803290059,23.805407ms
1616806890598,25.261517ms
1616810491138,25.517501ms
1616814091694,24.495136ms
1616817692234,25.71565ms
1616821292774,27.568452ms
1616824893318,25.776371ms
1616828493858,25.546856ms
1616832094402,25.68287ms
1616835694945,26.425743ms
1616839295502,24.554152ms
1616842896042,24.931128ms
1616846496582,24.694941ms
1616850097131,25.34327ms
1616853697671,25.827718ms
1616857298210,25.551183ms
1616860898750,24.304896ms
1616864499290,24.543588ms
1616868099831,25.168004ms
1616871700373,26.514338ms
1616875300919,25.564904ms
1616878901459,24.506934ms
1616882501999,25.650156ms
1616886102538,25.428801ms
1616889703078,25.753815ms
1616893303619,24.358187ms
1616896904158,25.865308ms
1616900504698,25.35674ms
1616904105239,23.282296ms
1616907705778,25.027471ms
1616911306318,25.139024ms
1616914906858,25.941225ms
1616918507459,24.47621ms
1616922107999,24.981246ms
1616925708538,25.72495ms
1616929309079,23.786399ms
1616932909618,23.81689ms
1616936510158,24.988898ms
1616940110708,23.875351ms
1616943711246,35.822932ms
1616947311798,23.904595ms
1616950912338,24.743661ms
1616954512878,23.90078ms
1616958113418,24.390491ms
1616961713958,24.01542ms
1616965314502,24.763482ms
1616968915042,23.826777ms
1616972515583,25.400175ms
1616976116123,25.204311ms
1616979716662,24.294871ms
1616983317202,25.073638ms
1616986917743,23.716072ms
1616990518285,27.288064ms
1616994118843,24.28765ms
1616997719382,25.212462ms
1617001319924,23.858326ms
1617004920467,24.794578ms
1617008521011,23.972878ms
1617012121553,25.394674ms
1617015722153,58.061469ms
1617019322767,24.623567ms
1617022923306,25.835655ms
1617026523846,23.606474ms
1617030124387,25.347603ms
1617033724927,25.562681ms
1617037325470,25.484661ms
1617040926010,24.736532ms
1617044526551,24.446497ms
1617048127091,25.239803ms
1617051727634,23.821768ms
1617055328175,24.692755ms
1617058928719,25.033214ms
1617062529258,24.429432ms
1617066129799,24.485812ms
1617069730338,25.237662ms
1617073330879,25.317836ms
1617076931418,26.04494ms
1617080531962,23.609091ms
1617084132502,24.172156ms
1617087733042,25.229304ms
1617091333582,25.499884ms
1617094934122,24.106007ms
1617098534662,23.485637ms
1617102135202,23.549248ms
1617105735743,25.731225ms
1617109336282,23.499994ms
1617112936822,25.095464ms
1617116537363,23.999741ms
1617120137903,26.376071ms
1617123738446,26.366854ms
1617127338988,25.045682ms
1617130939531,26.167692ms
1617134540071,24.150412ms
1617138140611,23.847518ms
1617141741151,25.520881ms
1617145341690,24.85062ms
1617148942234,25.341195ms
1617152542774,26.053756ms
1617156143314,25.719213ms
1617159743855,24.053351ms
1617163344403,26.427914ms
1617166944946,25.6001ms
1617170545503,23.531922ms
1617174146042,41.495022ms
1617177746599,36.512157ms
1617181347151,35.330455ms
1617184947702,40.820086ms
1617188548259,41.833934ms
1617192148821,40.855952ms
1617195749394,38.873206ms
1617199349951,34.232461ms
1617202950502,35.52816ms
1617206551054,40.230024ms
1617210151615,37.001206ms
1617213752166,39.801682ms
1617217352722,38.068926ms
1617220953274,36.39945ms
1617224553827,39.664116ms
1617228154383,39.3933ms
1617231754938,31.956197ms
1617235355486,31.230732ms
1617238956035,31.348651ms
1617242556582,32.090372ms
1617246157130,31.298315ms
1617249757678,33.601687ms
1617253358226,32.616241ms
1617256958774,30.531811ms
1617260559322,31.880112ms
1617264159870,33.915795ms
1617267760418,31.30339ms
1617271360967,31.854678ms
1617274961514,32.206768ms
1617278562062,33.581237ms
1617282162610,29.700561ms
1617285763155,32.062349ms
1617289363706,34.682194ms
1617292964255,34.282722ms
1617296564822,24.900149ms
1617300165362,25.116376ms
1617303765902,26.360477ms
1617307366443,25.235227ms
1617310966982,26.025668ms
1617314567526,25.558796ms
1617318168066,24.10198ms
1617321768607,24.821166ms
1617325369146,24.777025ms
1617328969686,24.831604ms
1617332570227,25.53458ms
1617336170767,24.284735ms
1617339771306,24.882057ms
1617343371847,24.160951ms
1617346972391,23.281688ms
1617350572934,24.181285ms
1617354173474,23.139169ms
1617357774023,23.978763ms
1617361374566,23.703413ms
1617364975103,23.293596ms
1617368575643,23.958184ms
1617372176183,24.994594ms
1617375776730,24.928367ms
1617379377271,26.301522ms
1617382977815,25.558165ms
1617386578354,25.456771ms
1617390178895,25.421938ms
1617393779439,24.959053ms
1617397379979,27.815171ms
1617400980535,25.604806ms
1617404581074,25.228197ms
1617408181619,27.500467ms
1617411782258,48.275958ms
1617415382887,30.492405ms
1617418983435,25.430791ms
1617422583975,27.044207ms
1617426184518,25.719078ms
1617429785058,25.289062ms
1617433385599,24.35978ms
1617436986139,26.680757ms
1617440586682,26.215414ms
1617444187223,25.327344ms
1617447787762,28.091605ms
1617451388306,25.309143ms
1617454988846,24.735508ms
1617458589391,26.645282ms
1617462189936,25.690561ms
1617465790478,25.769093ms
1617469391019,25.944842ms
1617472991558,27.07995ms
1617476592103,27.491402ms
1617480192647,27.321059ms
1617483793190,24.988608ms
1617487393731,25.54078ms
1617490994270,25.861871ms
1617494594814,27.437702ms
1617498195359,26.534597ms
1617501795903,25.839426ms
1617505396447,26.767143ms
1617508996991,26.522598ms
1617512597531,26.973909ms
1617516198075,25.318531ms
1617519798615,25.962408ms
1617523399155,25.109308ms
1617526999695,27.629639ms
1617530600258,25.733804ms
1617534200799,24.202439ms
1617537801339,25.964462ms
1617541401878,25.240818ms
1617545002419,24.855602ms
1617548602958,26.75501ms
1617552203499,27.048966ms
1617555804042,26.101796ms
1617559404582,27.026892ms
1617563005123,26.866505ms
1617566605668,26.581092ms
1617570206211,25.978548ms
1617573806750,26.096553ms
1617577407290,26.141013ms
1617581007834,23.66325ms
1617584608375,24.781722ms
1617588208914,26.832107ms
1617591809458,23.823787ms
1617595409998,25.11228ms
1617599010538,26.343419ms
1617602611079,24.934925ms
1617606211619,26.970907ms
1617609812163,25.4024ms
1617613412703,25.496157ms
1617617013242,26.301789ms
1617620613783,25.853805ms
1617624214322,24.03083ms
1617627814863,25.176186ms
1617631415402,26.814775ms
1617635015963,25.357432ms
1617638616502,25.606502ms
1617642217042,27.438842ms
1617645817589,27.477338ms
1617649418134,25.851338ms
1617653018675,27.008822ms
1617656619218,24.242703ms
1617660219758,26.245325ms
1617663820298,25.157838ms
1617667420838,24.914341ms
1617671021378,25.998901ms
1617674621919,25.961481ms
1617678222458,24.651764ms
1617681822998,25.71901ms
1617685423538,24.586216ms
1617689024078,24.789377ms
1617692624618,26.376053ms
1617696225162,24.760975ms
1617699825702,23.544159ms
1617703426244,25.983212ms
1617707026790,24.823746ms
1617710627330,25.126157ms
1617714227870,24.66948ms
1617717828411,24.074422ms
1617721428950,25.012129ms
1617725029491,25.802081ms
1617728630030,25.526678ms
1617732230570,23.678326ms
1617735831111,27.134545ms
1617739431654,32.186665ms
1617743032202,29.396047ms
1617746632747,31.525408ms
1617750233294,29.491379ms
1617753833838,30.544323ms
1617757434386,25.207321ms
1617761034926,26.767368ms
1617764635467,25.690431ms
1617768236006,25.440072ms
1617771836546,24.990512ms
1617775437087,27.150274ms
1617779037630,25.502405ms
1617782638170,25.443708ms
1617786238710,25.706203ms
1617789839251,25.444904ms
1617793439790,25.00658ms
1617797040331,26.355587ms
1617800640875,23.818622ms
1617804241415,26.109908ms
1617807842016,30.672943ms
1617811442625,25.775179ms
1617815043167,29.793836ms
1617818643715,29.189114ms
1617822244259,31.946413ms
1617825844808,31.674717ms
1617829445371,32.760877ms
1617833045919,30.108849ms
1617836646464,33.091103ms
1617840247015,25.332501ms
1617843847555,26.782596ms
1617847448099,25.284093ms
1617851048638,27.764032ms
1617854649183,27.27355ms
1617858249726,27.849292ms
1617861850271,26.496676ms
1617865450815,26.395372ms
1617869051359,26.624683ms
1617872651903,27.460539ms
1617876252447,27.487339ms
1617879852990,27.995409ms
1617883453534,26.634868ms
1617887054078,26.772087ms
1617890654623,27.113084ms
1617894255166,27.815629ms
1617897855711,26.148433ms
1617901456251,25.358659ms
1617905056795,25.957199ms
1617908657339,25.774093ms
1617912257878,25.762499ms
1617915858419,25.485713ms
1617919458958,24.427777ms
1617923059499,23.736231ms
1617926660040,25.821555ms
1617930260583,27.116842ms
1617933861126,26.787691ms
1617937461670,25.989092ms
1617941062212,24.653055ms
1617944662750,29.890246ms
1617948263295,26.58343ms
1617951863838,24.588041ms
1617955464378,23.670311ms
1617959064918,24.678707ms
1617962665458,24.595492ms
1617966265998,25.235603ms
1617969866538,24.686896ms
1617973467079,25.931692ms
1617977067619,26.16337ms
1617980668158,25.920342ms
1617984268699,25.063312ms
1617987869239,24.214423ms
1617991469778,25.476274ms
1617995070318,29.833278ms
1617998670863,26.721968ms
1618002271407,27.20569ms
1618005871950,24.572979ms
1618009472491,26.003313ms
1618013073031,24.202071ms
1618016673570,26.933157ms
1618020274110,25.34615ms
1618023874651,26.567553ms
1618027475195,24.52791ms
1618031075734,25.570572ms
1618034676275,25.668163ms
1618038276814,25.402169ms
1618041877355,25.562124ms
1618045477895,26.583482ms
1618049078439,25.508379ms
1618052678978,27.286968ms
1618056279523,26.207772ms
1618059880067,26.200319ms
1618063480611,25.428137ms
1618067081150,24.96256ms
1618070681691,28.199711ms
1618074282235,27.504463ms
1618077882778,25.131803ms
1618081483319,26.605651ms
