timestamp,time
1615784334002,16.299356ms
1615787934547,11.120344ms
1615791535091,10.725191ms
1615795135631,10.772986ms
1615798736171,10.388298ms
1615802336715,10.447409ms
1615805937255,11.2265ms
1615809537795,12.946447ms
1615813138335,10.521043ms
1615816738875,10.6896ms
1615820339415,10.345753ms
1615823939955,10.88883ms
1615827540515,10.578289ms
1615831141055,10.470088ms
1615834741600,18.290804ms
1615838342284,10.971292ms
1615841942824,10.80269ms
1615845543363,11.053269ms
1615849143903,10.965536ms
1615852744444,10.78181ms
1615856344984,10.872023ms
1615859945523,10.750048ms
1615863546063,10.799004ms
1615867146603,10.013408ms
1615870747139,10.166819ms
1615874347679,10.726713ms
1615877948220,10.480936ms
1615881548759,11.777274ms
1615885149301,10.205526ms
1615888749839,10.294568ms
1615892350380,10.634449ms
1615895950924,10.139461ms
1615899551480,10.484915ms
1615903152019,10.818326ms
1615906752559,10.373923ms
1615910353115,10.705473ms
1615913953656,10.696901ms
1615917554196,11.396346ms
1615921154736,10.592289ms
1615924755275,11.128373ms
1615928355819,10.614164ms
1615931956359,10.901737ms
1615935556900,10.42961ms
1615939157435,10.770672ms
1615942757975,10.598367ms
1615946358523,10.593733ms
1615949959059,10.576734ms
1615953559600,10.641008ms
1615957160140,9.997581ms
1615960760676,10.148572ms
1615964361216,10.65011ms
1615967961755,9.919698ms
1615971562296,10.156227ms
1615975162839,9.934215ms
1615978763379,10.263777ms
1615982363919,9.931044ms
1615985964460,10.276157ms
1615989565004,10.313136ms
1615993165543,10.439896ms
1615996766083,13.4014ms
1616000366627,10.538401ms
1616003967172,10.635777ms
1616007567716,10.47518ms
1616011168260,10.304206ms
1616014768804,10.696572ms
1616018369348,10.705507ms
1616021969892,10.716105ms
1616025570436,11.009494ms
1616029170984,10.840679ms
1616032771524,10.821455ms
1616036372064,10.680833ms
1616039972604,13.550838ms
1616043573148,10.648478ms
1616047173688,10.391365ms
1616050774228,10.94942ms
1616054374768,10.964715ms
1616057975308,10.666425ms
1616061575848,10.540653ms
1616065176388,10.699286ms
1616068776928,10.65905ms
1616072377467,10.633031ms
1616075978008,13.292068ms
1616079578565,10.644475ms
1616083179108,10.734125ms
1616086779648,10.553257ms
1616090380187,10.801665ms
1616093980728,10.595055ms
1616097581268,10.751992ms
1616101181808,10.365948ms
1616104782348,11.505683ms
1616108382888,10.666971ms
1616111983428,10.608644ms
1616115583968,10.774793ms
1616119184507,16.004634ms
1616122785052,10.451051ms
1616126385596,9.833634ms
1616129986132,10.877708ms
1616133586676,10.321689ms
1616137187216,10.190457ms
1616140787752,10.48742ms
1616144388292,10.331915ms
1616147988832,10.14825ms
1616151589375,10.360312ms
1616155189916,10.422379ms
1616158790456,10.563591ms
1616162390996,10.659309ms
1616165991535,10.87539ms
1616169592076,10.993128ms
1616173192616,10.911982ms
1616176793155,10.955904ms
1616180393696,12.568391ms
1616183994239,10.963011ms
1616187594780,10.648296ms
1616191195320,10.837251ms
1616194795859,10.861081ms
1616198396399,10.84112ms
1616201996940,10.687432ms
1616205597480,10.947695ms
1616209198020,10.633399ms
1616212798560,10.463011ms
1616216399100,10.805866ms
1616219999644,10.562866ms
1616223600184,10.845626ms
1616227200724,10.98267ms
1616230801265,47.568702ms
1616234402070,43.39438ms
1616238002906,117.81274ms
1616241605032,23.346775ms
1616245205850,32.685473ms
1616248806532,11.895604ms
1616252407071,11.20186ms
1616256007612,11.035921ms
1616259608156,11.572583ms
1616263208696,10.713451ms
1616266809235,10.879068ms
1616270409776,11.136142ms
1616274010316,10.73538ms
1616277610860,10.662485ms
1616281211400,10.891855ms
1616284811940,10.86151ms
1616288412480,10.914934ms
1616292013024,10.620691ms
1616295613564,10.893758ms
1616299214103,10.636131ms
1616302814644,10.915936ms
1616306415184,10.788555ms
1616310015732,11.007365ms
1616313616272,10.822827ms
1616317216812,10.665557ms
1616320817352,10.483516ms
1616324417892,10.866367ms
1616328018432,11.272515ms
1616331618972,10.746141ms
1616335219512,10.417025ms
1616338820052,10.773038ms
1616342420592,10.714835ms
1616346021135,10.830923ms
1616349621676,11.093215ms
1616353222216,10.783882ms
