timestamp,latency
1607811944437,1.152
1607815552628,0.76
1607819160787,0.784
1607822768948,0.494
1607826377140,0.528
1607829985331,0.481
1607833593524,0.447
1607837201716,0.599
1607840809907,0.506
1607844418100,0.523
1607848026292,0.651
1607851634451,0.527
1607855242644,0.53
1607858850836,0.522
1607862459027,0.618
1607866067220,0.477
1607869675412,0.514
1607873283603,0.706
1607876891796,0.505
1607880499988,0.525
1607884108147,0.512
1607887716340,0.507
1607891073494,0.488
1607894681683,0.561
1607898289876,0.519
1607901898067,0.852
1607905506263,0.583
1607909114452,0.713
1607912722644,0.948
1607916330773,0.56
1607919938964,0.886
1607923547124,0.545
1607927155316,0.485
1607930763507,0.932
1607934371667,0.507
1607937979859,0.886
1607941588052,0.538
1607945196244,0.531
1607948804435,0.62
1607952412573,0.753
1607956020723,0.583
1607959628884,0.52
1607963237076,0.514
1607966845267,0.504
1607970453459,0.553
1607974061651,0.523
1607977669844,0.525
1607981278036,0.502
1607984886227,0.679
1607988494387,0.495
1607992102579,1.794
1607995710708,0.506
1607999318868,1.663
1608002927028,0.514
1608006535220,0.509
1608010143412,0.541
1608013751604,0.507
1608017359795,0.564
1608020967988,0.533
1608024576180,0.519
1608028184372,0.514
1608031792563,0.52
1608035400756,1.245
1608039008915,0.516
1608042617108,0.543
1608046225299,0.521
1608049833460,0.524
1608053441651,0.524
1608057049844,0.556
1608060658035,0.515
1608064266230,0.593
1608067874419,0.532
1608071482612,0.516
1608075090803,0.523
1608078698996,0.526
1608082307187,0.547
1608085915379,0.527
1608089523573,0.579
1608093131764,0.551
1608096739955,0.53
1608100348125,0.513
1608103956307,0.538
1608107564500,0.576
1608111172691,0.515
1608114780884,0.515
1608118389053,0.541
1608121997236,0.521
1608125605427,1.025
1608129213588,0.527
1608132821779,0.499
1608136429972,0.946
1608140038131,0.51
1608143646324,0.558
1608147254515,0.547
1608150862708,0.559
1608154470899,0.523
1608158079092,0.52
1608161687283,0.567
1608165295476,0.543
1608168903667,0.571
1608172511860,0.524
1608176120051,0.538
1608179728244,0.519
1608183336435,0.515
1608186944628,0.501
1608190552819,0.557
1608194161012,0.659
1608197769203,0.577
1608201377396,0.542
1608204985587,0.51
1608208593757,0.603
1608212201939,0.522
1608215810132,0.531
1608219418259,0.521
1608223026452,0.534
1608226634643,0.506
1608230242836,0.528
1608233851027,0.555
1608237459220,0.554
1608241067412,0.972
1608244675549,0.545
1608248283731,0.536
1608251891924,0.549
1608255500115,0.541
1608259108308,0.542
1608262716499,0.531
1608266324692,0.542
1608269932883,0.535
1608273541076,1.341
1608277149173,0.602
1608280757364,0.549
1608284365555,0.519
1608287973748,0.544
1608291581907,0.573
1608295190100,0.514
1608298798291,0.582
1608302406484,0.583
1608306014675,0.498
1608309622868,0.557
1608313231059,0.589
1608316839252,0.509
1608320447443,0.782
1608324055604,0.546
1608327663763,0.604
1608331271956,0.519
1608334880147,0.512
1608338488340,0.502
1608342096531,0.515
1608345704724,0.529
1608349312915,0.515
1608352921109,0.753
1608356529267,1.396
1608360137462,0.566
1608363745651,0.529
1608367353844,0.515
1608370962035,0.54
1608374570228,0.631
1608378178355,0.487
1608381786548,0.525
1608385394739,0.535
1608389002932,0.61
1608392611091,0.719
1608396219284,1.162
1608399827475,0.726
1608403435668,0.527
1608407043838,0.535
1608410652020,0.528
1608414260211,0.544
