timestamp,time
1613871662978,167.459645ms
1613875271468,162.071524ms
1613878879965,161.62602ms
1613882488462,167.997689ms
1613886096952,162.801333ms
1613889705431,158.92289ms
1613893313924,167.461228ms
1613896922422,160.09604ms
1613900530904,168.510696ms
1613904139405,161.909704ms
1613907747901,163.566903ms
1613911356382,162.949492ms
1613914964893,158.758679ms
1613918573383,162.041646ms
1613922181878,168.290196ms
1613925790364,166.932065ms
1613929398853,167.937602ms
1613933007355,162.349712ms
1613936615858,157.534244ms
1613940224351,158.63386ms
1613943832846,169.612657ms
1613947441339,159.687909ms
1613951049833,161.846491ms
1613954658313,168.234432ms
1613958266818,163.566309ms
1613961875299,167.415592ms
1613965483787,164.444422ms
1613969092284,168.277147ms
1613972700789,162.187867ms
1613976309269,170.407803ms
1613979917759,157.927453ms
1613983526253,168.136207ms
1613987134755,162.967196ms
1613990743254,160.159123ms
1613994351749,162.729193ms
1613997960237,159.860746ms
1614001568734,168.583616ms
1614005177231,168.141862ms
1614008785731,167.928906ms
1614012394222,168.789364ms
1614016002723,168.411896ms
1614019611224,159.140772ms
1624816178071,167.290501ms
1624819786590,172.63366ms
1624823395111,163.033849ms
1624827003628,175.824552ms
1624830612158,160.987422ms
1624834220676,168.391106ms
1624837829196,168.156604ms
1624841437717,163.28112ms
1624845046231,170.758081ms
1624848654761,162.420124ms
1624852263271,172.981537ms
1624855871794,169.294148ms
1624859480318,168.779379ms
1624863088840,168.982365ms
1624866697357,167.268039ms
1624870305877,162.596688ms
1624873914386,166.744007ms
1624877522910,169.251528ms
1624881131427,173.168476ms
1624884739946,168.705328ms
1624888348468,160.711207ms
1624891956992,172.083624ms
1624895565525,167.684646ms
1624899174045,174.611767ms
1624902782569,168.192411ms
1624906391094,169.477705ms
1624909999618,160.933787ms
1624913608133,162.445729ms
1624917216654,163.785057ms
1624920825168,173.074456ms
1624924433698,161.224253ms
1624928042214,167.940711ms
1624931650732,167.036148ms
1624935259248,165.598787ms
1624938867764,166.951275ms
1624942476288,162.951423ms
1624946084806,161.452951ms
1624949693310,167.428136ms
1624953301823,160.92191ms
1624956910334,167.681423ms
1624960518856,167.707827ms
1624964127385,167.65525ms
1624967735902,167.679552ms
1624971344420,170.609629ms
1624974952946,166.629453ms
1624978561467,168.507879ms
1624982169990,176.306759ms
1624985778522,170.653649ms
1624989387051,161.533839ms
1624992995571,166.644128ms
1624996604098,169.861903ms
1625000212621,167.73648ms
1625003821137,160.352849ms
1625007429647,159.142596ms
1625011038160,164.488526ms
1625014646674,161.686769ms
1625018255182,169.141455ms
1625021863699,164.966539ms
1625025472207,169.290276ms
1625029080730,160.988693ms
1625032689242,168.725487ms
1625036297754,174.578129ms
1625039906269,167.551309ms
1625043514780,172.046503ms
1625047123298,171.361911ms
1625050731820,169.887482ms
1625054340336,168.040611ms
1625057948862,172.595697ms
1625061557396,171.537836ms
1625065165924,164.170988ms
1625068774448,172.960598ms
1625072382977,165.894647ms
1625075991499,171.735436ms
1625079600033,202.606241ms
1625083208600,163.799822ms
1625086817120,170.22917ms
1625090425641,171.608608ms
1625094034177,164.445741ms
1625097642704,165.816021ms
1625101251217,170.778875ms
1625104859734,170.445229ms
1625108468251,174.450456ms
1625112076786,169.780334ms
1625115685311,161.202481ms
1625119293828,161.981875ms
1625122902334,167.2012ms
1625126510858,162.892172ms
1625130119366,168.092761ms
1625133727894,175.041295ms
1625137336424,169.42178ms
1625140944952,166.649081ms
1625144553470,161.870055ms
1625148161992,174.694815ms
1625151770519,167.535815ms
1625155379047,174.579678ms
1625158987582,167.994616ms
1625162596101,174.473899ms
1625166204624,169.017493ms
1625169813150,162.169305ms
1625173421669,162.352135ms
1625177030181,174.52323ms
1625180638707,176.539543ms
1625184247235,160.094297ms
1625187855747,166.57019ms
1625191464258,162.25347ms
1625195072766,162.774721ms
1625198681276,167.589091ms
1625202289792,162.810529ms
1625205898300,168.938584ms
1625209506828,160.784168ms
1625213115343,174.825627ms
1625216723882,167.963416ms
1625220332407,170.051285ms
1625223940937,168.982733ms
1625227549473,169.502729ms
1625231158004,169.512455ms
1625234766539,165.813033ms
1625238375066,161.860191ms
1625241983591,171.221293ms
1625245592117,169.090202ms
1625249200643,160.615644ms
1625252809158,167.195791ms
1625256417681,161.977447ms
1625260026186,167.046784ms
1625263634706,169.009058ms
1625267243226,161.900544ms
1625270851749,174.722923ms
1625274460278,168.735589ms
1625278068813,173.816763ms
1625281677341,167.846662ms
1625285285870,167.577432ms
1625288894398,168.969461ms
1625292502922,167.680754ms
1625296111441,162.117215ms
1625299719965,176.039793ms
1625303328500,171.739614ms
1625306937020,159.629356ms
1625310545541,168.050388ms
1625314154063,160.612847ms
1625317762581,162.041509ms
1625321371100,169.5308ms
1625324979630,169.135473ms
1625328588159,161.516949ms
1625332196677,161.016073ms
1625335805188,168.693724ms
1625339413710,166.425949ms
1625343022223,160.670405ms
1625346630739,171.719709ms
1625350239269,169.278908ms
1625353847794,169.642126ms
1625357456314,169.938538ms
1625361064840,167.5089ms
1625364673366,174.260683ms
1625368281897,169.362558ms
1625371890420,168.206775ms
1625375498949,162.567716ms
1625379107462,173.947911ms
1625382715995,170.754912ms
1625386324523,176.132293ms
1625389933057,166.591908ms
1625393541589,170.842005ms
1625397150118,161.638894ms
1625400758637,173.952496ms
1625404367167,166.773279ms
1625407975691,166.782019ms
1625411584218,167.035003ms
1625415192742,167.285302ms
1625418801273,174.442612ms
1625422409806,161.677188ms
