timestamp,time
1613871662818,159.768081ms
1613875271312,155.799014ms
1613878879796,168.691647ms
1613882488295,167.528693ms
1613886096796,156.487767ms
1613889705277,153.696226ms
1613893313753,171.367151ms
1613896922254,167.934487ms
1613900530746,157.299062ms
1613904139235,169.357106ms
1613907747730,170.678227ms
1613911356228,153.798681ms
1613914964724,168.771838ms
1613918573214,168.062358ms
1613922181710,168.265098ms
1613925790209,154.971917ms
1613929398697,155.446892ms
1613933007186,168.577033ms
1613936615687,170.842289ms
1613940224183,168.264885ms
1613943832677,169.11129ms
1613947441184,154.904517ms
1613951049665,167.906521ms
1613954658157,156.060009ms
1613958266649,169.719229ms
1613961875144,154.092662ms
1613965483632,154.664769ms
1613969092112,171.352035ms
1613972700617,171.438283ms
1613976309111,157.118358ms
1613979917605,154.32014ms
1613983526084,168.779697ms
1613987134586,168.452391ms
1613990743085,168.459849ms
1613994351578,170.695478ms
1613997960069,167.928086ms
1614001568562,171.263556ms
1614005177062,168.701757ms
1614008785562,168.536093ms
1614012394053,168.853018ms
1614016002554,168.923685ms
1614019611052,171.608694ms
1614023219545,154.309515ms
1614026827950,168.470177ms
1614030436371,154.503266ms
1614034044777,158.850831ms
1614037653186,157.286866ms
1614041261593,167.885153ms
1614044870012,171.603192ms
1614048478436,156.871118ms
1614052086847,158.770456ms
1614055695254,154.890925ms
1614059303659,168.491914ms
1614062912078,156.216045ms
1614066520486,169.837457ms
1614070128905,171.227883ms
1614073737329,171.924607ms
1614077345749,172.353707ms
1614080954170,170.145648ms
1614084562588,167.930941ms
1614088171001,171.464446ms
1614091779425,168.243649ms
1614095387848,170.871179ms
1614098996271,168.73034ms
1614102604689,171.454525ms
1614106213106,170.955204ms
1614109821527,153.94275ms
1614113429933,159.425418ms
1614117038349,169.620333ms
1614120646774,154.743056ms
1614124255181,171.563973ms
1614127863604,152.938245ms
1614131472005,169.015019ms
1614135080426,168.561352ms
1614138688847,158.107432ms
1614142297258,168.286084ms
1614145905678,160.105614ms
1614149514085,434.161742ms
1614153122772,167.646492ms
1614156731189,171.057505ms
1614160339614,168.183334ms
1614163948024,167.26201ms
1614167556443,156.958232ms
1614171164849,168.830235ms
1614174773263,167.867378ms
1614178381679,158.755655ms
1614181990089,168.287586ms
1614185598507,156.026563ms
1614189206916,168.562198ms
1614192815335,168.700637ms
1614196423754,155.470141ms
1614200032160,154.108106ms
1614203640562,169.035842ms
1614207248978,168.599159ms
1614210857398,154.563755ms
1614214465804,154.305095ms
1614218074211,156.695593ms
1614221682617,171.819576ms
1614225291040,168.857191ms
1614228899461,168.975515ms
1614232507879,167.663609ms
1614236116294,156.283638ms
1614239724698,158.649572ms
1614243333103,168.257066ms
1614246941527,171.22874ms
1614250549952,168.087407ms
1614254158371,168.808514ms
1614257766785,167.867625ms
1614261375206,156.704915ms
1614264983613,172.169775ms
1614268592031,154.559502ms
1614272200439,169.219457ms
1614275808860,157.614161ms
1614279417265,169.025359ms
1614283025686,171.530882ms
1614286634103,171.56115ms
1614290242522,156.951638ms
1614293850930,168.982901ms
1614297459354,171.564448ms
1614301067775,168.358072ms
1614304676191,152.319797ms
1614308284596,157.060921ms
1614311893003,169.357332ms
1614315501424,155.440944ms
1614319109833,169.431205ms
1614322718268,169.217614ms
1614326326699,155.789619ms
1614329935110,156.01899ms
1614333543530,171.983262ms
1614337151967,169.135371ms
1614340760385,154.845947ms
1614344368788,168.818334ms
1614347977203,158.564051ms
1614351585614,168.978999ms
1614355194031,173.416411ms
1614358802457,172.885156ms
1614362410885,154.308371ms
1614366019288,168.538778ms
1614369627708,155.242628ms
1614373236111,169.152992ms
1614376844531,170.905812ms
1614380452957,154.703809ms
1614384061361,171.726392ms
1614387669783,171.69474ms
1614391278213,157.090681ms
1614394886621,155.757464ms
1614398495027,168.721888ms
1614402103448,155.32326ms
1614405711855,168.057096ms
1614409320273,168.80971ms
1614412928692,169.964501ms
1614416537110,168.970853ms
1614420145534,168.332424ms
1614423753955,168.45902ms
1614427362375,168.826662ms
1614430970795,168.800417ms
1614434579218,168.571649ms
1614438187637,155.604651ms
1614441796042,155.891468ms
1614445404446,153.828241ms
1614449012852,169.586003ms
1614452621274,155.688675ms
1614456229678,169.543171ms
1614459838092,168.291594ms
1614463446517,157.09693ms
1614467054928,157.502573ms
1614470663332,168.96047ms
1614474271752,169.270354ms
1614477880174,156.086642ms
1614481488576,169.871951ms
1614485096995,159.205129ms
1614488705407,167.582212ms
1614492313832,153.406266ms
1614495922236,170.324306ms
1614499530660,172.707752ms
1614503139083,170.436883ms
1614506747501,170.504351ms
1614510355923,155.041608ms
1614513964329,168.436429ms
1614517572742,168.452969ms
1614521181157,154.138894ms
1614524789559,154.648514ms
1614528397962,169.088922ms
1614532006384,172.603274ms
1614535614807,154.736509ms
1614539223211,156.99565ms
1614542831614,154.204976ms
1614546440017,169.45854ms
1614550048437,168.734124ms
1614553656850,157.221274ms
1614557265254,168.806567ms
1614560873676,169.091534ms
1614564482089,169.605537ms
1614568090512,169.534157ms
1614571698928,168.090764ms
1614575307344,178.496732ms
1614578915773,168.134028ms
1614582524198,154.732494ms
1614586132603,171.590071ms
1614589741024,170.986339ms
1614593349447,169.223815ms
1614596957867,168.467377ms
1614600566285,154.275644ms
1614604174691,154.841857ms
1614607783093,155.630853ms
1614611391502,157.436416ms
1614614999910,155.844239ms
1614618608315,169.17292ms
1614622216739,169.414906ms
1614625825153,155.402964ms
1614629433558,154.829575ms
1614633041962,168.546126ms
1614636650381,168.491612ms
1614640258803,170.072806ms
1614643867225,171.749714ms
1614647475647,168.967217ms
1614651084060,157.356131ms
1614654692469,169.462988ms
1614658300896,168.004023ms
1614661909314,169.88775ms
1614665517734,155.206436ms
1614669126135,169.683191ms
1614672734555,194.817539ms
1614676343020,157.531711ms
1614679951426,174.901397ms
1614683559848,168.276478ms
1614687168268,154.13951ms
1614690776673,170.472143ms
1614694385090,169.371574ms
1614697993509,155.026477ms
1614701601914,159.858129ms
1614705210323,159.11812ms
1614708818735,169.200573ms
1614712427149,168.106119ms
1614716035578,168.662287ms
1614719643995,169.666635ms
1614723252417,168.307342ms
1614726860838,171.229801ms
1614730469256,169.784687ms
1614734077677,169.349676ms
1614737686092,171.585982ms
1614741294520,168.953035ms
1614744902939,154.452561ms
1614748511343,157.833546ms
1614752119752,157.175457ms
1614755728157,157.581418ms
1614759336562,174.113364ms
1614762944988,155.797635ms
1614766553395,156.179575ms
1614770161801,157.928921ms
1614773770208,156.933078ms
1614777378617,154.284939ms
1614780987017,168.92135ms
1614784595433,171.632408ms
1614788203855,157.231063ms
1614791812263,156.52917ms
1614795420666,169.456221ms
1614799029082,168.404037ms
1614802637503,168.550812ms
1614806245925,172.118643ms
1614809854349,170.977091ms
1614813462770,158.096371ms
1614817071179,171.791793ms
1614820679596,169.291906ms
1614824288016,167.67475ms
1614827896432,159.397954ms
