timestamp,time
1613450702027,175.882988ms
1613454310544,177.308248ms
1613457919057,174.652609ms
1613461527568,174.271613ms
1613465136091,172.250347ms
1613468744605,174.288611ms
1613472353121,173.474075ms
1613475961630,175.211945ms
1613479570145,172.758286ms
1613483178654,178.799107ms
1613486787171,164.582428ms
1613490395671,192.204529ms
1613494004205,176.56747ms
1613497612718,174.658355ms
1613501221217,177.77798ms
1613504829731,173.58996ms
1613508438241,173.177925ms
1613512046752,174.270425ms
1613515655253,173.355408ms
1613519263766,178.018703ms
1613522872279,173.334816ms
1613526480781,173.832813ms
1613530089286,174.966925ms
1613533697798,175.847171ms
1613537306326,173.759439ms
1613540914836,172.890431ms
1613544523345,167.843908ms
1613548131843,175.67389ms
1613551740364,173.914879ms
1613555348871,172.034186ms
1613558957389,169.229859ms
1613562565899,174.700167ms
1613566174410,173.289794ms
1613569782922,165.435917ms
1613573391413,172.745178ms
1613576999925,175.197997ms
1613580608442,168.385108ms
1613584216949,172.558738ms
1613587825470,173.634331ms
1613591433989,174.679691ms
1613595042502,163.785888ms
1613598650997,168.775017ms
1613602259501,174.342258ms
1613605868011,166.199647ms
1613609476510,169.679093ms
1613613085008,167.103058ms
1613616693510,166.352584ms
1613620302006,166.511483ms
1613623910517,163.9657ms
1613627519010,165.224164ms
1613631127515,181.123193ms
1613634736034,175.387967ms
1613638344546,173.657327ms
1613641953056,172.681492ms
1613645561557,174.347229ms
1613649170069,173.168289ms
1613652778567,162.766483ms
1613656387066,164.135263ms
1613659995574,174.365995ms
1613663604087,173.840146ms
1613667212604,163.10836ms
1613670821115,168.815519ms
1613674429630,174.864906ms
1613678038154,171.762686ms
1613681646655,173.778616ms
1613685255168,173.159311ms
1613688863679,174.588706ms
1613692472176,169.861608ms
1613696080682,165.263943ms
1613699689179,174.846461ms
1613703297696,173.832968ms
1613706906201,164.290343ms
1613710514703,172.844158ms
1613714123214,174.656277ms
1613717731717,174.147028ms
1613721340215,163.425398ms
1613724948714,179.112049ms
1613728557219,167.352942ms
1613732165726,168.131939ms
1613735774216,164.215189ms
1613739382713,176.610572ms
1613742991223,167.197603ms
1613746599724,166.676995ms
1613750208228,173.712971ms
1613753816733,173.153679ms
1613757425247,173.490996ms
1613761033769,168.095274ms
1613764642278,167.706319ms
1613768250786,164.275747ms
1613771859278,174.245016ms
1613775467799,170.554454ms
1613779076296,173.110092ms
1613782684809,174.697674ms
1613786293328,169.905062ms
1613789901840,171.571384ms
1613793510361,169.42329ms
1613797118870,170.104762ms
1613800727378,168.765149ms
1613804335896,172.965447ms
1613807944415,173.871269ms
1613811552927,174.354783ms
1613815161438,177.323765ms
1613818769956,174.72414ms
1613822378469,174.538117ms
1613825986985,164.248838ms
1613829595483,164.017104ms
1613833203993,198.152705ms
1613836812559,181.381075ms
1613840421081,186.024306ms
1613844029602,167.92825ms
1613847638104,169.360768ms
1613851246611,172.428286ms
1613854855117,174.648021ms
1613858463620,172.497085ms
1613862072134,178.499059ms
1613865680649,174.184105ms
1613869289159,172.738097ms
1613872897663,171.240439ms
1613876506170,165.101622ms
1613880114680,174.87447ms
1613883723191,175.186395ms
1613887331715,178.24076ms
1613890940226,175.732915ms
1613894548743,174.368343ms
1613898157259,173.939139ms
1613901765768,174.240144ms
1613905374275,173.747981ms
1613908982795,173.560406ms
1613912591303,165.017207ms
1613916199807,175.352106ms
1613919808307,169.331886ms
1613923416815,164.622104ms
1613927025309,164.845379ms
1613930633810,174.956296ms
1613934242318,175.868165ms
1613937850830,173.901899ms
1613941459345,165.125142ms
1613945067851,174.780622ms
1613948676363,165.683837ms
1613952284858,174.428463ms
1613955893369,172.571777ms
1613959501873,176.499741ms
1613963110381,174.671991ms
1613966718892,176.675522ms
1613970327412,170.132894ms
1613973935922,165.900862ms
1613977544424,164.57019ms
1613981152926,173.226355ms
1613984761428,166.658085ms
1613988369936,174.301057ms
1613991978444,170.932193ms
1613995586955,173.759941ms
1613999195470,164.598996ms
1614002803968,165.50494ms
1614006412473,174.108003ms
1614010020985,172.71203ms
1614013629491,173.257114ms
1614017237998,174.850014ms
1614020846517,172.949148ms
1624817038654,174.794073ms
1624820647178,181.006227ms
1624824255699,175.562525ms
1624827864202,170.424445ms
1624831472713,172.923397ms
1624835081232,175.013086ms
1624838689753,176.323507ms
1624842298271,180.924727ms
1624845906785,170.521543ms
1624849515294,181.439082ms
1624853123817,177.415495ms
1624856732336,180.371469ms
1624860340867,168.513704ms
1624863949370,173.756835ms
1624867557901,184.421109ms
1624871166446,170.118576ms
1624874774958,181.498533ms
1624878383487,178.013303ms
1624881992009,169.572989ms
1624885600511,175.033048ms
1624889209027,173.84526ms
1624892817545,179.661498ms
1624896426064,172.853127ms
1624900034576,180.641006ms
1624903643087,180.177761ms
1624907251618,172.49325ms
1624910860137,179.326546ms
1624914468657,189.187416ms
1624918077181,172.907808ms
1624921685697,176.284229ms
1624925294217,174.0354ms
1624928902735,178.628263ms
1624932511253,182.983788ms
1624936119774,168.307183ms
1624939728279,177.609073ms
1624943336801,171.138612ms
1624946945306,178.361492ms
1624950553822,176.798448ms
1624954162346,170.474818ms
1624957770854,183.048538ms
1624961379372,182.634641ms
1624964987897,169.045327ms
1624968596404,182.422494ms
1624972204926,181.331425ms
1624975813438,183.29781ms
1624979421968,183.607283ms
1624983030497,176.971747ms
1624986639010,176.713953ms
1624990247517,175.317301ms
1624993856025,168.05137ms
1624997464524,169.259048ms
1625001073029,167.006805ms
1625004681532,172.841214ms
1625008290041,166.391056ms
1625011898542,169.035295ms
1625015507042,176.493426ms
1625019115555,175.892146ms
1625022724077,174.995468ms
1625026332593,175.264718ms
1625029941120,181.745755ms
1625033549657,169.547173ms
1625037158160,172.305315ms
1625040766667,187.849979ms
1625044375191,179.81071ms
1625047983714,167.822988ms
1625051592225,190.196303ms
1625055200774,173.863463ms
1625058809294,174.995129ms
1625062417817,180.892068ms
1625066026352,174.996313ms
1625069634872,174.441578ms
1625073243399,184.493692ms
1625076851941,176.300841ms
1625080460466,180.799731ms
1625084068986,178.473842ms
1625087677510,177.550649ms
1625091286046,187.323371ms
1625094894581,174.896979ms
1625098503154,171.392801ms
1625102111673,174.303555ms
1625105720190,170.214302ms
1625109328704,176.248149ms
1625112937222,169.148839ms
1625116545732,175.814505ms
1625120154256,173.256063ms
1625123762777,180.812593ms
1625127371312,179.03281ms
1625130979836,177.742457ms
1625134588354,177.928325ms
1625138196875,168.798506ms
1625141805385,177.320062ms
1625145413905,178.675231ms
1625149022421,247.395427ms
1625152631018,167.849969ms
1625156239522,168.796715ms
1625159848035,179.501967ms
1625163456560,178.185024ms
1625167065093,173.725693ms
1625170673612,172.891605ms
1625174282134,179.84794ms
1625177890644,180.460885ms
1625181499174,180.764283ms
1625185107699,179.230996ms
1625188716227,174.210381ms
1625192324752,181.433687ms
1625195933264,178.779208ms
1625199541798,174.55977ms
1625203150308,173.042832ms
1625206758825,169.446576ms
1625210367338,176.038276ms
1625213975853,176.184416ms
1625217584368,182.805603ms
1625221192895,172.978686ms
1625224801411,190.665985ms
1625228409955,181.133529ms
1625232018472,179.990865ms
1625235626990,175.008418ms
1625239235507,169.158796ms
1625242844011,184.642874ms
1625246452548,174.166589ms
1625250061064,179.449821ms
1625253669590,175.113048ms
1625257278121,177.832905ms
1625260886638,170.161958ms
1625264495158,183.920862ms
1625268103689,176.974102ms
1625271712206,174.931142ms
1625275320728,169.914278ms
1625278929235,178.493088ms
1625282537753,174.261908ms
1625286146277,182.580307ms
1625289754797,182.221236ms
1625293363309,176.28322ms
1625296971833,176.148408ms
1625300580351,181.578116ms
1625304188889,186.008495ms
1625307797422,178.596494ms
1625311405946,186.140146ms
1625315014479,179.847003ms
1625318623005,187.942896ms
1625322231538,187.641535ms
1625325840067,178.036983ms
1625329448590,176.129406ms
1625333057109,179.165647ms
1625336665620,175.808909ms
1625340274148,174.862606ms
1625343882675,173.983681ms
1625347491188,171.203216ms
1625351099692,183.910612ms
1625354708210,178.351417ms
1625358316743,170.490939ms
1625361925245,175.270302ms
1625365533762,181.880174ms
1625369142276,168.46682ms
1625372750782,180.092684ms
1625376359299,173.325679ms
1625379967810,173.371918ms
1625383576324,171.076625ms
1625387184835,181.609001ms
1625390793364,179.389308ms
1625394401900,182.686882ms
1625398010433,169.781652ms
1625401618960,176.73149ms
1625405227483,172.916819ms
1625408835997,175.313403ms
1625412444511,170.337657ms
1625416053022,175.589866ms
1625419661536,179.75689ms
1625423270070,176.129834ms
